Ly6C,B220
261.224,8041.77
122.615,4988.95
202.122,122.849
149.297,5897.21
144.761,7713.14
41.9085,12501.4
173.976,6780.77
18794.3,201.623
279.295,235.099
114.802,7326.36
245.501,5203.23
64.8518,4709.92
2256.02,147.386
191.394,5548.45
28166.1,206.458
87.8071,7886.06
22526.8,233.586
10971,2.84684
365.355,10201.5
-9.75668,2963.88
185.707,4903.61
19560.7,896.791
547.759,4644.5
484.256,8742.11
46.1397,5585.98
17250.2,216.923
24.1164,1327.97
11316.8,1037.58
211.68,228.55
759.281,1406.13
1499.73,375.554
3121.44,9542.25
78.1481,8910.57
113.719,5962.4
2.32459,2848.71
112.011,6277.88
265.384,6074.21
17886.6,28.9246
113.959,1370.27
215.752,9133.47
59.5149,4509.44
34396.4,-63.2165
109.011,5539.81
268.557,8973.57
43.0777,4987.1
236.454,265.903
65.2185,-95.6655
303.387,4376.06
34.2058,7820
356.839,4840.67
354.947,6349.43
17370.1,47.8572
11977.7,107.551
172.583,4038.15
182.701,7352.91
310.635,5342.77
9151.34,136.4
226.933,3180.58
744.618,8105.17
117.045,6108.26
582.159,1015.24
20631.4,128.376
157.765,7135.61
421.277,927.348
275.934,7394.47
19907.4,259.437
279.193,7005.97
364.098,7354.23
166.804,2193.58
45.0492,6211.89
351.448,6992.26
303.644,6485.01
22594.6,255.435
56.3648,5528.45
198.9,5031.22
164.309,3917.95
183.678,6273.75
29693.1,106.765
243.987,3802.62
2410.73,892.026
256.936,7356.67
603.586,9121.45
85.4626,1866.72
170.45,5403.67
83.5163,9538.14
11870.1,251.392
52.6049,7195.26
20332.1,205.995
221.556,6455.73
138.681,4504.99
115.169,64.4629
133.953,4573.86
197.949,8978.33
29963.1,5.89322
-14.8956,6593.35
465.763,357.79
173.809,6672.17
285.751,3882.4
8401.12,193.483
174.175,3814.07
9538.78,-49.05
91.7179,3637.18
560.925,346.828
237.89,5741.49
354.549,4276.64
590.437,4563.48
64.8863,7123.8
249.537,327.668
576.404,9862.25
321.628,5041.34
239.199,3884.32
23540.2,69.0117
9744.71,232.057
11891,-21.707
70.2398,3839.57
84.1296,6356.92
125.45,2947.61
15290.3,341.369
32639.8,169.353
3359.09,2665.54
18133.6,165.507
124.426,6247.76
44.1523,9211.05
241.59,10462.2
78.7709,5781.75
352.303,988.746
152.896,5811.71
241.365,846.736
12089.3,52.1809
51.471,5780.16
359.195,96.2817
248.162,201.587
4993.79,149.434
249.132,313.33
95.8269,4013.23
26.2606,5145.51
-65.2721,5840.75
6891.38,242.283
127.72,7533
110.19,7221.44
161.403,5881.66
101.327,1058.62
16622.6,124.268
-17.8454,-114.017
230.08,108.955
575.757,13275.3
234.494,8483.24
30441.7,148.545
11802.1,169.156
227.066,4254.67
97.9396,4320.58
88.1769,5165.82
26428,22.1004
294.7,173.296
200.1,1879.96
23389.4,176.542
247.933,1339.71
917.858,7408.89
469.626,6548.88
3701.71,483.418
4875.38,128.507
238.621,5906.78
164.454,5186.84
272.067,4308.32
102.16,218.855
108.292,7023.26
90.3754,7487.23
111.821,5208.98
157.563,5193.93
16563,390.614
182.491,11006.5
53.9566,5011.06
780.032,90.0676
66.8445,6120.19
344.668,202.058
187.407,7418.27
9092.3,168.614
177.661,3814.68
172.878,3829.44
349.742,7469.66
26290.1,906.902
155.305,5355.11
390.881,5836.12
123.507,3515.18
33.7427,7158.02
396.311,4883.03
15.1998,3142.26
141.086,68.1499
27953.2,147.733
39.0281,5846.61
24.6108,8858.78
75.5033,6058.96
169.456,8146.94
336.292,8637.53
12451,272.618
131.66,8063.95
24667.6,226.277
23290.5,71.6989
264.525,6168.27
316.893,11187.3
803.091,3534.59
104.706,7324.98
247.636,4433.36
151.019,4393.61
237.76,327.812
70.282,6230.46
178.06,2420.26
322.741,119.634
52.3124,3215.14
21.6088,13897.1
413.102,3071.7
297.602,1300.19
269.73,6695.24
107.064,293.982
143.746,3054.42
118.02,124.091
344.619,5857.34
46.8081,3603.56
354.247,6159.62
14248.6,750.344
232.874,8712.46
144.57,6446.9
291.143,6561.58
134.777,1722.16
472.485,148.378
