Ly6C,B220
5.26236,198.584
1839.19,128.601
17.1848,259.957
1595.54,22.2765
7.05363,71.6597
0,315.451
14.297,116.662
20.2579,289.792
60.8684,197.811
0,205.869
9.35871,180.592
0,222.039
1148.56,7.74156
0,4.77931
49.8373,224.798
3519.39,381.664
9.80262,1546.88
0,154.483
4084.36,10.3085
58.6336,475.613
0.186201,594.129
1.82444,222.338
18.4475,253.486
0,78.0827
0.901624,224.772
0.892284,258.781
0,861.741
3312.33,4.4481
0,100.825
48.5738,210.342
0,367.43
4273.86,20.1808
16.544,88.2582
0,387.485
13.189,1.02868
6.86162,177.101
40.0227,33.3865
0,12.0408
2068.18,2.07872
116.262,19.6481
249.23,16.2813
0,294.995
0.14376,29.1382
0,350.119
1.27779,241.925
5129.7,15.9082
558.136,19.3342
40.6012,188.896
10.7358,130.328
1.1425,281.371
33.8581,206.121
5.13246,33.5093
2019.29,11.4143
461.303,24.0524
18.5895,9.5758
2.39618,75.3245
2.62803,226.532
678.876,14.1214
1299.36,1.90221
14.2547,149.233
6.33818,493.817
0,133.079
14.658,154.685
3955.81,1.45647
24.4411,47.7909
6.22773,427.654
0,8.01195
1509.17,24.2509
18.4102,19.3792
0,207.621
10.5855,0
27.6542,154.694
10.6693,161.051
3009.28,12.0834
3259.03,0.529566
3.23552,185.255
3315.79,0
0,191.204
0,115.31
2798.57,8.60021
6.11317,1123.58
2014.72,10.7115
12.6487,223.364
53.6903,329.894
6.07999,354.227
482.789,49.1475
0,10.8698
70.2075,15.3902
2298.91,13.7782
0,314.027
0,325.784
21.2029,554.978
1619.21,27.8902
0,148.342
0,230.082
10.2851,176.476
6.63789,22.7462
16.2825,178.746
15.7899,24.0666
23.9564,94.1772
5.34111,85.7003
1792.99,99.9366
0,472.758
0,372.871
52.4308,17.1911
7.14628,574.024
5.08937,90.8218
2188.09,10.1612
0,152.613
0,9.2599
27.4838,388.327
16.5339,443.471
3991.61,196.901
1564.22,29.2158
3.64331,282.293
6.66855,783.665
7.34688,587.119
8193.34,13.8116
0,222.425
6.59232,358.86
4.26678,195.147
3424.66,5.12012
0,247.293
9.35187,220.989
6.65559,5.57187
16.7365,240.768
0.864045,236.541
2945.49,0
7.28988,238.39
392.208,25.4484
4719.18,4.41885
0,123.572
46.3659,156.804
19.6517,374.568
4405.98,0
1435.45,1.51483
0,200.864
3184.76,0
3.11357,282.005
20.3369,478.396
14.8845,226.222
5502.59,171.308
2290.02,4.62508
2668.43,9.95876
0,0
20.8994,251.909
34.8971,636.504
10.1601,220.965
1372.9,0
11.3747,236.631
0,229.435
12.869,4.01192
0,749.369
48.0423,64.8222
13.1853,57.0987
0,523.549
17.9747,285.152
0,170.941
1.15746,278.377
0,8.90585
45.4411,257.008
0,357.803
2022.92,7.95292
18.0396,285.041
53.1942,290.202
58.7875,213.308
24.4305,0
3.2206,226.44
8.30472,811.563
12.0808,307.357
9.92443,124.445
3142.4,9.00956
2775.67,11.9327
2.24563,207.964
0,310.247
30.8346,286.522
0,134.52
38.6961,356.932
4.21149,185.927
24.0411,686.44
0,254.549
2.70731,277.616
181.549,0
0,201.259
2449.59,6.49983
5.26993,147.912
6.44943,333.973
0,569.675
32.0539,17.1057
60.0244,369.468
0,80.9814
21.752,5.61417
1049.62,22.2613
1.37643,201.349
7.09056,184.514
14.2456,4.41543
9.25008,258.69
5.81675,176.649
1.50082,588.328
4.23578,56.0904
1829.84,13.4606
16.9355,342.083
0,226.13
9.57049,205.681
3976.75,0
3637.55,0
2.26292,261.395
18.0348,415.942
1890.14,6.52232
24.5494,235.041
16.7871,419.273
0,19.207
6151.8,8.4531
34.0971,587.083
3502.27,0.635391
0,339.261
0,572.877
0,42.4001
0,496.958
0,620.857
3.64075,84.1001
16.1566,431.488
0,47.5433
1.19286,391.432
0,254.348
