Ly6C,B220
861.156,36294.6
11802.2,9036.69
1622.19,66314.1
1171.05,70981.6
87960.5,2921.97
886.323,51831
280.33,73910.3
22463,7181.02
4059.91,102849
98576.8,3924.12
1067.5,63776
3087.32,9739.69
2640.46,87760.9
2396.36,52900.7
933.123,79028.6
1785.21,53986.3
1363.56,52980.1
1550.34,72709.8
1925.53,71578.8
162456,3876.33
1052.12,62302.3
4260.69,1363.57
564.577,58124.4
1721.41,76652.9
44901.6,9831.12
5474.43,15827.4
1396.27,42890.6
1604.91,36896.6
12416,7402.79
79421.8,15786.3
1367.99,44541
833.686,73847.3
1206.39,2195.12
894.653,863.931
2884.83,77156.1
1077.68,47016
4730.86,77703.8
1607.68,93650.8
2532.05,44511.6
2358.65,198304
1149.96,86553.8
405.09,70137.9
632.279,84736.6
130704,8442.42
1299.28,757.108
519.881,61537.5
1907.95,72711
4331.05,91252
956.454,56558.5
8282.15,23836.3
1101.49,49289.9
749.609,58257.8
981.305,2016.06
2424.08,52634.9
404.153,155612
1112.64,84284.1
2337.36,108661
776.75,44320
61408.2,3384.06
541.804,57580.4
277405,1832.38
1549.3,59257.2
675.432,55580.6
109610,5716.96
1764.57,7450.93
5451.63,49537.3
1297.36,59516.5
1188.2,66423.9
2605.32,142452
74824.8,1746.59
609.576,56767.5
2006.77,62354.6
512.742,68028.1
499.157,66385.1
96190.3,3971.38
966.83,5501.18
996.771,62626.9
2316.35,90353.6
1414,70124.9
7606.15,109008
3491.4,39899.8
14425.3,77777.8
106266,4629.36
161276,3516
70822,1806.48
525.058,81938.3
222840,1828.27
2770.58,84949.8
1229.48,14094.8
367.707,80374.3
4948.56,10228.5
102.501,59870.1
109602,2631.76
12630.3,60638.5
13993,6973.84
12720,1319.49
1875.89,3205.97
833.453,65676.6
6130.19,8699.82
1357.96,44172.9
1193.37,63123.3
1644.02,2727.02
769.212,62817.1
2112.65,81650.1
1597.3,43196.9
136562,2552.28
1516.97,63796.8
111323,3279.39
671.922,75785.1
1602.34,104733
948.477,75108.5
107385,1971.93
485.972,72553.3
1428.47,53903.9
17235.4,121922
155613,1613.65
1346.46,80946.3
675.803,68162.3
1148.53,49479.2
1498.69,47664.9
201986,2139.46
3372.03,75307.3
1873.58,36117.9
2870.49,156989
2926.85,120978
2011.13,51839.4
1472.32,67485.9
765.004,71592.8
230144,4213.77
32841.4,10415.3
1264.71,2362.1
108466,9801.44
1945.03,34078.4
153003,2797.84
3367.87,17987.8
2674.94,77458.3
1509.57,168816
524.887,61292.7
445.884,64711.9
1135.65,69678.4
14170.3,68126.9
1333.94,95303.5
2000.79,99834.7
164973,4866.38
2315.44,12920.6
914.953,33786.5
2551.72,155436
800.814,17026.6
1978.96,2256.08
1296.86,63879.7
80570.8,12518.5
617.572,19997.1
51698.9,2095.08
1509.74,73759
129725,10543.1
914.611,56608.7
1660.63,96918.4
2578.43,56771.4
14194.5,62878.2
4764.48,20950.5
2322.04,150521
